Height_cm,Sex
170.18,Female
160,Female
147.32,Female
162.56,Female
175.3,Female
158,Female
175.259,Female
182.88,Male
185,Male
176,Male
176,Male
160.02,Male
180.4,Male
162.5,Male
162.4584,Female
150,Female
163,Female
177.8,Male
178,Male
170,Female
160,Female
175,Male
165.1,Female
167,Female
155,Female
155,Male
167,Female
152.4,Female
182.88,Male
160,Male
170,Female
172.72,Female
168,Female
187.96,Male
185,Male
182.88,Female
180,Male
155.48,Female
185,Male
187.96,Male
177.8,Female
167,Female
165,Female
167,Female
165,Female
162.56,Female
193.04,Male
185,Female
155,Male
178,Male
157.48,Female
157,Female
190,Male
172.72,Male
155,Female
178,Male
165.1,Female
106,Female
183,Female
171,Female
152.4,Female
162,Female
180,Male
