son ID,year,son TS,brood size,father ID,Father TS
11655,2008,104.5,5,11625,
11658,2008,95,5,11621,99.83
11664,2008,95,6,11622,102
11674,2009,96,5,11632,
11677,2008,102.5,5,11605,103.1665
11677,2009,108.5,5,11605,103.1665
11724,2008,93,2,11625,101
11724,2009,99,2,11625,101
11796,2008,109,3,11601,110.6665
11796,2009,114,3,11601,110.6665
11798,2008,100,3,11601,110.6665
11798,2009,110,3,11601,110.6665
26139,2008,93,4,11622,102
26155,2009,112.5,4,11612,106.6666667
26174,2008,92,3,,
26174,2009,101,3,,
26180,2008,90,3,11617,98.25
26180,2009,104,3,11617,98.25
26236,2009,106,6,86427,114
26238,2009,114,3,11637,115.5
26238,2010,,3,11637,115.5
26240,2009,92,4,26562,112
26240,2010,97.5,4,26562,112
26274,2009,78,1,11639,99.75
26279,2009,93.5,5,26247,112
26279,2010,97.5,5,26247,112
26298,2010,94.5,5,11609,110.5
26331,2009,97,4,26223,98.5
26361,2009,88,3,11617,98.75
26361,2010,93.5,3,11617,98.75
26549,2009,100.5,5,26566,105.5
26549,2010,105,5,26566,105.5
26557,2009,92.5,5,26207,96.75
26570,2010,111,3,26503,111.25
26586,2009,107.5,4,26514,101.5
26586,2010,117,4,26514,101.5
73064,2010,105,5,26577,111
73120,2010,100.5,3,26174,101
73141,2010,98.5,4,26192,111
73143,2010,97,4,26192,111
73158,2010,95,3,11621,102
73259,2010,100.5,5,,
73270,2010,98,4,11609,109.5
