infection_status,fate
uninfected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
infected,eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
uninfected,not eaten
infected,not eaten
infected,not eaten
infected,not eaten
infected,not eaten
infected,not eaten
infected,not eaten
infected,not eaten
infected,not eaten
infected,not eaten
infected,not eaten
infected,not eaten
infected,not eaten
infected,not eaten
infected,not eaten
infected,not eaten
infected,not eaten
infected,not eaten
infected,not eaten
infected,not eaten
infected,not eaten
infected,not eaten
infected,not eaten
infected,not eaten
infected,not eaten
infected,not eaten
infected,not eaten
infected,not eaten
infected,not eaten
infected,not eaten
infected,not eaten
infected,not eaten
infected,not eaten
infected,not eaten
infected,not eaten
infected,not eaten
infected,not eaten
infected,not eaten
infected,not eaten
infected,not eaten
infected,not eaten
infected,not eaten
infected,not eaten
infected,not eaten
infected,not eaten
