StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14_1,Q14_2,Q14_3,Q14_4,Q14_5,Q14_6,Q14_7,Q14_8,Q14_9,Q14_10,Q14_11,Q16,Q17,Q18,Q19,Q20
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your year in college (how many years have you been enrolled in classes)? (Round up so you include this semester.),Do you own a handgun?,"On average, about how many times per week do you consume marijuana? (Enter a number)","On average, about how many times per week do you drink alcohol? (Enter a number)","How far away, in kilometers, is your hometown (where you call ""home"")? (You can use an internet distance tool to get these data)",How uncertain are you about your future?,How many hours per day do you interact with your smart phone?,"On average, how often do you talk with your parents?",How many languages do you speak?,Do you go for walks or hikes in nature at least once a week?,What is your biological sex?,Approximately how many hours a week do you work at a job?,Choose the social media platform(s) you use and estimate the frequency with which you use it (them) - Facebook,Choose the social media platform(s) you use and estimate the frequency with which you use it (them) - Snapchat,Choose the social media platform(s) you use and estimate the frequency with which you use it (them) - Instagram,Choose the social media platform(s) you use and estimate the frequency with which you use it (them) - Twitter,Choose the social media platform(s) you use and estimate the frequency with which you use it (them) - YouTube,Choose the social media platform(s) you use and estimate the frequency with which you use it (them) - Snapchat,Choose the social media platform(s) you use and estimate the frequency with which you use it (them) - WhatsApp,Choose the social media platform(s) you use and estimate the frequency with which you use it (them) - Pinterest,Choose the social media platform(s) you use and estimate the frequency with which you use it (them) - reddit,Choose the social media platform(s) you use and estimate the frequency with which you use it (them) - Quora,Choose the social media platform(s) you use and estimate the frequency with which you use it (them) - Other,"If you indicated you use Other social media platforms from question above, what is the social media site?",What is your age (in years)?,Have you ever lived in another country for more than a year?,"Approximately, how often do you eat red meat (i.e. mammalian prey items)?","And finally, what is your favorite thing to do?"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID15_4""}","{""ImportId"":""QID15_5""}","{""ImportId"":""QID15_6""}","{""ImportId"":""QID15_7""}","{""ImportId"":""QID15_8""}","{""ImportId"":""QID15_9""}","{""ImportId"":""QID15_10""}","{""ImportId"":""QID15_11""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20_TEXT""}"
2/7/18 13:51,2/7/18 13:51,IP Address,128.138.65.84,100,10,TRUE,2/7/18 13:51,R_e4A8sgxmN3XIJ69,,,,,40.01499939,-105.2705994,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/8/18 11:22,2/8/18 11:25,IP Address,128.138.65.115,100,203,TRUE,2/8/18 11:25,R_31jDUyMhWL9enKZ,,,,,40.01499939,-105.2705994,anonymous,EN,First year,No,2,0,60,Moderately uncertain,6,About once a day,2,Yes,Male,I don't have a job (other than school),daily,daily,Once a week,Never,daily,daily,Never,Never,daily,Never,daily,Kik,19,No,Never,What I want to do
2/8/18 11:22,2/8/18 11:25,IP Address,128.138.65.116,100,185,TRUE,2/8/18 11:25,R_2D5ngD1ftEkQbVe,,,,,40.01499939,-105.2705994,anonymous,EN,First year,No,0,0,5351,Moderately uncertain,2,About once a week,2,Yes,Male,Between 1 and 5 hours,Never,4-6 times a week,4-6 times a week,Never,daily,4-6 times a week,Never,Never,daily,Never,Never,,18,No,Daily,Hike and Bike
2/8/18 11:21,2/8/18 11:26,IP Address,73.229.136.113,100,341,TRUE,2/8/18 11:26,R_3QXVEKLIuEgcsop,,,,,40.0480957,-105.384201,anonymous,EN,Second year,No,6+,2+,"9,309 km",Very uncertain,Too Many,About once a day,3,Yes,Male,I don't have a job (other than school),daily,daily,daily,Never,2-3 times a week,daily,daily,Never,Never,Never,Never,,20,Yes,2-3 times a week,Watch Movies
2/8/18 13:50,2/8/18 13:55,IP Address,128.138.65.81,100,298,TRUE,2/8/18 13:55,R_bsfbhBdxoNjmK7n,,,,,40.01499939,-105.2705994,anonymous,EN,Second year,No,0,1,5122,Extremely uncertain,2,About once a day,2,Yes,Female,Between 20 and 40 hours,4-6 times a week,daily,4-6 times a week,2-3 times a week,Once a week,daily,Never,Never,2-3 times a week,Never,Once a week,GroupMe,19,No,4-6 times a week,Talk to human beings
2/8/18 13:58,2/8/18 14:00,IP Address,128.138.65.248,100,141,TRUE,2/8/18 14:00,R_3enbg88cMNvcdOb,,,,,40.01499939,-105.2705994,anonymous,EN,Third year,No,0,2,156,Moderately uncertain,3,About once a week,1,No,Female,Between 1 and 5 hours,daily,daily,daily,Never,Once a week,daily,Never,Never,Never,Never,Never,,20,No,4-6 times a week,Workout
2/8/18 13:53,2/8/18 14:01,IP Address,128.138.65.245,100,528,TRUE,2/8/18 14:01,R_3jV6AlYwdWrs7qw,,,,,40.01499939,-105.2705994,anonymous,EN,> fifth year,Yes,0,0,5,Extremely uncertain,6,About once a week,2,Yes,Female,I don't have a job (other than school),Never,daily,Never,Once a week,4-6 times a week,daily,4-6 times a week,Never,Never,2-3 times a week,daily,"xbox app, TA and a few others ",31,No,Once a year,Lots of things 
2/8/18 13:59,2/8/18 14:02,IP Address,128.138.65.174,100,203,TRUE,2/8/18 14:02,R_2sdyFj0eCuSkNjD,,,,,40.01499939,-105.2705994,anonymous,EN,Second year,Yes,0,4,2739,Moderately uncertain,8,About once a week,1,No,Female,I don't have a job (other than school),daily,daily,daily,daily,2-3 times a week,daily,Never,2-3 times a week,Never,Never,Never,,20,No,Never,Ride Horses
