sample ID,GenBank accession ,species ,sample category,mercury_ppm
JHL00407,GU451755,albacares,Yellowfin Akami,0.605
JHL00408,GU451756,albacares,Yellowfin Akami,0.224
JHL00409,GU451757,albacares,Yellowfin Akami,0.621
JHL00412,GU451760,albacares,Yellowfin Akami,0.186
JHL00413,GU451761,albacares,Yellowfin Akami,0.099
JHL00419,GU451766,albacares,Yellowfin Akami,0.55
JHL00426,GU451773,albacares,Yellowfin Akami,0.598
JHL00429,GU451775,albacares,Yellowfin Akami,0.739
JHL00430,GU451776,albacares,Yellowfin Akami,0.25
JHL00433,GU451779,albacares,Yellowfin Akami,0.199
JHL00434,GU451780,albacares,Yellowfin Akami,0.531
JHL00435,GU451781,albacares,Yellowfin Akami,0.35
JHL00436,GU451782,albacares,Yellowfin Akami,0.816
JHL00438,GU451784,albacares,Yellowfin Akami,0.095
JHL00439,GU451785,albacares,Yellowfin Akami,0.593
JHL00440,GU451786,albacares,Yellowfin Akami,0.28
JHL00443,GU451789,albacares,Yellowfin Akami,0.358
JHL00444,GU451790,albacares,Yellowfin Akami,1.044
JHL00451,GU451793,albacares,Yellowfin Akami,0.138
JHL00515,FJ605754,albacares,Yellowfin Akami,0.536
JHL00524,FJ605763,albacares,Yellowfin Akami,1.377
JHL00529,FJ605768,albacares,Yellowfin Akami,0.412
JHL00539,FJ605778,albacares,Yellowfin Akami,0.403
JHL00546,FJ605785,albacares,Yellowfin Akami,0.501
JHL00549,FJ605788,albacares,Yellowfin Akami,0.358
JHL00552,FJ605791,albacares,Yellowfin Akami,0.458
JHL00402,FJ605743,obesus,Bigeye Toro,0.534
JHL00403,FJ605744,obesus,Bigeye Akami,0.805
JHL00405,GU451753,obesus,Bigeye Akami,0.557
JHL00406,GU451754,obesus,Bigeye Akami,0.732
JHL00411,GU451759,obesus,Bigeye Akami,0.98
JHL00414,GU451762,obesus,Bigeye Akami,0.95
JHL00415,GU451763,obesus,Bigeye Akami,1.344
JHL00416,GU451764,obesus,Bigeye Akami,0.803
JHL00417,GU451765,obesus,Bigeye Akami,1.553
JHL00428,GU451774,obesus,Bigeye Akami,0.786
JHL00431,GU451777,obesus,Bigeye Akami,0.547
JHL00432,GU451778,obesus,Bigeye Akami,0.444
JHL00437,GU451783,obesus,Bigeye Akami,0.785
JHL00441,GU451787,obesus,Bigeye Akami,0.653
JHL00442,GU451788,obesus,Bigeye Akami,0.468
JHL00445,GU451791,obesus,Bigeye Akami,1.408
JHL00448,GU451792,obesus,Bigeye Akami,0.349
JHL00507,FJ605747,obesus,Bigeye Akami,1.602
JHL00509,FJ605749,obesus,Bigeye Akami,0.336
JHL00512,FJ605751,obesus,Bigeye Akami,0.862
JHL00517,FJ605756,obesus,Bigeye Toro,0.424
JHL00523,FJ605762,obesus,Bigeye Akami,0.555
JHL00526,FJ605765,obesus,Bigeye Toro,0.845
JHL00527,FJ605766,obesus,Bigeye Akami,0.84
JHL00531,FJ605770,obesus,Bigeye Toro,0.365
JHL00532,FJ605771,obesus,Bigeye Akami,1.243
JHL00533,FJ605772,obesus,Bigeye Akami,0.951
JHL00534,FJ605773,obesus,Bigeye Toro,1.117
JHL00535,FJ605774,obesus,Bigeye Akami,0.452
JHL00536,FJ605775,obesus,Bigeye Toro,0.685
JHL00537,FJ605776,obesus,Bigeye Akami,1.487
JHL00541,FJ605780,obesus,Bigeye Akami,1.145
JHL00542,FJ605781,obesus,Bigeye Toro,0.558
JHL00543,FJ605782,obesus,Bigeye Akami,0.524
JHL00544,FJ605783,obesus,Bigeye Akami,1.152
JHL00545,FJ605784,obesus,Bigeye Toro,2.114
JHL00547,FJ605786,obesus,Bigeye Akami,0.542
JHL00548,FJ605787,obesus,Bigeye Akami,0.851
JHL00550,FJ605789,obesus,Bigeye Akami,0.648
JHL00551,FJ605790,obesus,Bigeye Akami,0.622
JHL00553,FJ605792,obesus,Bigeye Toro,2.254
JHL00557,FJ605796,obesus,Bigeye Akami,1.716
JHL00563,FJ605802,obesus,Bigeye Akami,1.561
JHL00564,FJ605803,obesus,Bigeye Akami,0.493
JHL00568,FJ605807,obesus,Bigeye Akami,0.623
