Timestamp,What is your gender?,How old are you?,Approximately how much do you weigh?,Which best describes your drinking habits?,"On average, how many days per week do/did you drink any amount of alcohol?","On the days that you do drink, how many US standard drinks (approximately equivalent to a 12 oz can of beer, a 5 oz glass of wine, or 1 shot of distilled spirits) do you have?",Do you have a biological parent that currently drinks or previously drank regularly or occasionally?,"On average, how many days per week did/does your biological mother drink?","On the days that she did/does drink, how many US standard drinks (approximately equivalent to a 12 oz can of beer, a 5 oz glass of wine, or 1 shot of distilled spirits) did/does she have?","On average, how many days per week did/does your biological father drink?","On the days that he did/does drink, how many US standard drinks (approximately equivalent to a 12 oz can of beer, a 5 oz glass of wine, or 1 shot of distilled spirits) did/does he have?",How many biological full siblings do you have? Enter your response as a number and not as a word.,Do you have any biological full sibling(s) that currently drinks or previously drank regularly or occasionally?,"On average, how many days per week did/does your sibling drink?","On the days that your sibling did/does drink, how many US standard drinks (approximately equivalent to a 12 oz can of beer, a 5 oz glass of wine, or 1 shot of distilled spirits) did/does they have?",Do you have another sibling who drinks?,"On average, how many days per week did/does your sibling drink?","On the days that your sibling did/does drink, how many US standard drinks (approximately equivalent to a 12 oz can of beer, a 5 oz glass of wine, or 1 shot of distilled spirits) did/does they have?",Do you have another sibling who drinks?,"On average, how many days per week did/does your sibling drink?","On the days that your sibling did/does drink, how many US standard drinks (approximately equivalent to a 12 oz can of beer, a 5 oz glass of wine, or 1 shot of distilled spirits) did/does they have?",Do you have another sibling who drinks?,"On average, how many days per week did/does your sibling drink?","On the days that your sibling did/does drink, how many US standard drinks (approximately equivalent to a 12 oz can of beer, a 5 oz glass of wine, or 1 shot of distilled spirits) did/does they have?",Do you have another sibling who drinks?,"On average, how many days per week did/does your sibling drink?","On the days that your sibling did/does drink, how many US standard drinks (approximately equivalent to a 12 oz can of beer, a 5 oz glass of wine, or 1 shot of distilled spirits) did/does they have?",Do you have another sibling who drinks?,"On average, how many days per week did/does your sibling drink?","On the days that your sibling did/does drink, how many US standard drinks (approximately equivalent to a 12 oz can of beer, a 5 oz glass of wine, or 1 shot of distilled spirits) did/does they have?",Do you have another sibling who drinks?,"On average, how many days per week did/does your sibling drink?","On the days that your sibling did/does drink, how many US standard drinks (approximately equivalent to a 12 oz can of beer, a 5 oz glass of wine, or 1 shot of distilled spirits) did/does they have?",Do you have another sibling who drinks?,"On average, how many days per week did/does your sibling drink?","On the days that your sibling did/does drink, how many US standard drinks (approximately equivalent to a 12 oz can of beer, a 5 oz glass of wine, or 1 shot of distilled spirits) did/does they have?",Do you have another sibling who drinks?,"On average, how many days per week did/does your sibling drink?","On the days that your sibling did/does drink, how many US standard drinks (approximately equivalent to a 12 oz can of beer, a 5 oz glass of wine, or 1 shot of distilled spirits) did/does they have?",Do you have another sibling who drinks?,"On average, how many days per week did/does your sibling drink?","On the days that your sibling did/does drink, how many US standard drinks (approximately equivalent to a 12 oz can of beer, a 5 oz glass of wine, or 1 shot of distilled spirits) did/does they have?",Do you have a biological grandparent that currently drinks or previously drank regularly or occasionally?,"On average, how many days per week did/does your grandparent drink?","On the days that they did/do drink, how many US standard drinks (approximately equivalent to a 12 oz can of beer, a 5 oz glass of wine, or 1 shot of distilled spirits) did/do they have?",Do you have another grandparent who drinks/drank?,"On average, how many days per week did/does your grandparent drink?","On the days that they did/do drink, how many US standard drinks (approximately equivalent to a 12 oz can of beer, a 5 oz glass of wine, or 1 shot of distilled spirits) did/do they have?",Do you have another grandparent who drinks/drank?,"On average, how many days per week did/does your grandparent drink?","On the days that they did/do drink, how many US standard drinks (approximately equivalent to a 12 oz can of beer, a 5 oz glass of wine, or 1 shot of distilled spirits) did/do they have?",Do you have another grandparent who drinks/drank?,"On average, how many days per week did/does your grandparent drink?","On the days that they did/do drink, how many US standard drinks (approximately equivalent to a 12 oz can of beer, a 5 oz glass of wine, or 1 shot of distilled spirits) did/do they have?"
11/19/2020 10:14:55,Male,18-25,140 - 159lbs,Never drank or only drank on rare occasions,,,No,,,,,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,2-4,Unsure,,,,,,,,
11/19/2020 10:16:40,Male,18-25,240+,Never drank or only drank on rare occasions,,,Yes,0,0,4,2-4,3,Yes,4,2-4,No,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,
11/19/2020 10:24:11,Non-binary,18-25,160 - 179 lbs,Never drank or only drank on rare occasions,,,Yes,1,1 or less than 1,1,1 or less than 1,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,6,2-4,Unsure,,,,,,,,
11/19/2020 10:25:27,Female,18-25,120 - 139lbs,Currently drink regularly or occasionally,5,5-7,Yes,3,2-4,3,2-4,2,Yes,3,2-4,Yes,3,2-4,No,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,1 or less than 1,No,,,,,,,,
11/19/2020 10:27:09,Female,18-25,140 - 159lbs,Currently drink regularly or occasionally,5,2-4,Yes,7,2-4,1,1 or less than 1,1,Yes,2,2-4,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Unsure,,,,,,,,,,,
11/19/2020 10:27:22,Female,18-25,140 - 159lbs,Currently drink regularly or occasionally,6,2-4,Yes,0,0,7,2-4,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,5,1 or less than 1,Yes,4,1 or less than 1,No,,,,,
11/19/2020 10:27:31,Female,26-35,90 - 119lbs,Currently drink regularly or occasionally,2,2-4,No,,,,,1,Yes,3,2-4,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Unsure,,,,,,,,,,,
11/19/2020 10:30:11,Male,18-25,160 - 179 lbs,Currently drink regularly or occasionally,1,2-4,Yes,0,0,0,2-4,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unsure,,,,,,,,,,,
11/19/2020 10:30:57,Female,26-35,120 - 139lbs,Currently drink regularly or occasionally,6,2-4,Yes,6,2-4,7,5-7,3,Unsure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,6,2-4,Unsure,,,,,,,,
11/19/2020 10:32:31,Female,18-25,120 - 139lbs,Currently drink regularly or occasionally,3,8-10,Yes,2,1 or less than 1,2,1 or less than 1,1,Yes,3,5-7,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,1 or less than 1,Yes,2,1 or less than 1,No,,,,,
11/19/2020 10:37:11,Female,18-25,140 - 159lbs,Currently drink regularly or occasionally,1,1 or less than 1,Yes,1,2-4,2,2-4,1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,2,1 or less than 1,Yes,2,1 or less than 1,Yes,1,1 or less than 1,No,,
11/19/2020 10:37:32,Male,18-25,160 - 179 lbs,Currently drink regularly or occasionally,2,8-10,No,,,,,2,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,
11/19/2020 10:45:54,Male,18-25,160 - 179 lbs,"Previously drank regularly or occasionally, but no longer drink",0,2-4,Yes,1,1 or less than 1,2,2-4,1,Yes,3,2-4,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,0,0,No,,,,,,,,
11/19/2020 10:53:17,Female,18-25,90 - 119lbs,Currently drink regularly or occasionally,1,2-4,Yes,0,0,1,1 or less than 1,1,Yes,1,1 or less than 1,No,,,,,,,,,,,,,,,,,,,,,,,,,,,Unsure,,,,,,,,,,,
11/19/2020 10:55:57,Male,18-25,160 - 179 lbs,Currently drink regularly or occasionally,1,1 or less than 1,Yes,1,1 or less than 1,7,2-4,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,3,2-4,No,,,,,,,,
