Group_Initials,Section_No.,Distance_km,Sample_Site_No.,Total_No._Colonies_AB_Neg,Total_No._Colonies_AB_Pos,FABR,No._white_colonies_AB_Neg,No._Light_Yellow_colonies_AB_Neg,No._Dark_Yellow_colonies_AB_Neg,No._Pink_colonies_AB_Neg,
AEB,NA,0,1,16,5,0.3125,6,10,0,0,
AEB,NA,11,2,63,43,0.6825396825,44,15,4,0,
AEB,NA,23,3,91,21,0.2307692308,39,47,0,5,
AEB,NA,35,4,41,18,0.4390243902,32,0,0,9,
AEB,NA,49,5,71,18,0.2535211268,44,0,27,0,
AEB,NA,69,6,104,15,0.1442307692,38,0,59,7,
KAC,NA,49,5,66,NA,#VALUE!,42,0,24,0,
SPS,NA,49,5,61,NA,#VALUE!,36,0,22,3,
JMLE,15,0,1,14,3,0.2142857143,3,11,0,0,
JMLE,15,11,2,46,26,0.5652173913,49,4,9,0,
JMLE,15,23,3,78,19,0.2435897436,35,51,0,5,
JMLE,15,35,4,96,20,0.2083333333,29,0,0,9,
JMLE,15,49,5,54,16,0.2962962963,1,33,18,2,
JMLE,15,69,6,106,15,0.141509434,38,0,61,5,
MSSB,15,0,1,10,3,0.3,3,1,6,0,
MSSB,15,11,2,24,20,0.8333333333,21,3,0,0,
MSSB,15,23,3,34,16,0.4705882353,13,12,8,1,
MSSB,15,35,4,46,15,0.3260869565,28,14,0,4,
MSSB,15,49,5,59,16,0.2711864407,0,35,21,3,
MSSB,15,69,6,78,9,0.1153846154,23,41,9,5,
JRSM,15,0,1,16,3,0.1875,1,4,7,0,
JRSM,15,11,2,72,24,0.3333333333,40,22,10,0,
JRSM,15,23,3,152,27,0.1776315789,42,70,39,1,
JRSM,15,35,4,117,25,0.2136752137,90,27,0,0,
JRSM,15,49,5,71,16,0.2253521127,44,17,7,3,
JRSM,15,69,6,81,12,0.1481481481,36,34,8,3,
BMCTBHAC,15,0,1,15,7,0.4666666667,3,12,0,0,
BMCTBHAC,15,11,2,56,32,0.5714285714,18,12,26,0,
BMCTBHAC,15,23,3,84,26,0.3095238095,22,14,47,1,
BMCTBHAC,15,35,4,29,14,0.4827586207,11,12,0,6,
BMCTBHAC,15,49,5,29,13,0.4482758621,0,9,20,0,
BMCTBHAC,15,69,6,51,8,0.1568627451,9,13,27,2,
ADEAPOSM,16,0,1,11,3,0.2727272727,9,3,0,0,
ADEAPOSM,16,11,2,39,25,0.641025641,31,6,2,0,
ADEAPOSM,16,23,3,32,9,0.28125,3,9,19,1,
ADEAPOSM,16,35,4,16,10,0.625,1,12,2,1,
ADEAPOSM,16,49,5,51,16,0.3137254902,40,11,13,3,
ADEAPOSM,16,69,6,40,8,0.2,6,16,16,2,
LSHLKBVA,16,0,1,8,3,0.375,4,13,2,0,
LSHLKBVA,16,11,2,32,25,0.78125,6,68,13,0,
LSHLKBVA,16,23,3,82,18,0.2195121951,36,5,40,1,
LSHLKBVA,16,35,4,42,18,0.4285714286,23,14,2,3,
LSHLKBVA,16,49,5,44,17,0.3863636364,15,8,13,8,
LSHLKBVA,16,69,6,97,13,0.1340206186,18,27,39,13,
EMWS,117,0,1,17,5,0.2941176471,5,7,5,0,
EMWS,117,11,2,62,39,0.6290322581,8,47,7,0,
EMWS,117,23,3,151,35,0.2317880795,30,1,0,4,
EMWS,117,35,4,112,22,0.1964285714,0,22,0,0,
EMWS,117,49,5,159,17,0.106918239,1,36,17,2,
EMWS,117,69,6,187,15,0.08021390374,42,0,64,5,
BNSMHO,18,0,1,12,5,0.4166666667,4,8,0,0,
BNSMHO,18,11,2,74,36,0.4864864865,6,61,7,0,
BNSMHO,18,23,3,111,18,0.1621621622,4,60,46,1,
BNSMHO,18,35,4,70,18,0.2571428571,3,55,0,12,
BNSMHO,18,49,5,75,19,0.2533333333,0,48,24,3,
BNSMHO,18,69,6,126,14,0.1111111111,12,34,75,5,
CK GL AZ,18,0,1,13,4,0.3076923077,13,0,0,0,
CK GL AZ,18,11,2,66,44,0.6666666667,49,7,10,0,
CK GL AZ,18,23,3,90,27,0.3,39,15,32,4,
CK GL AZ,18,35,4,36,27,0.75,33,3,0,0,
CK GL AZ,18,49,5,64,31,0.484375,48,5,11,0,
CK GL AZ,18,69,6,71,13,0.1830985915,30,16,23,2,
MC KW IS,18,0,1,16,3,0.1875,2,11,3,0,
MC KW IS,18,11,2,56,34,0.6071428571,30,16,10,0,
MC KW IS,18,23,3,92,18,0.1956521739,37,7,47,1,
MC KW IS,18,35,4,58,17,0.2931034483,23,20,0,15,
MC KW IS,18,49,5,51,16,0.3137254902,25,11,15,0,
MC KW IS,18,69,6,92,10,0.1086956522,39,41,10,2,
KB EB SV,18,0,1,22,8,0.36,3,4,5,0,
KB EB SV,18,11,2,108,61,0.5648148148,10,90,8,0,
KB EB SV,18,23,3,133,51,0.3834586466,47,88,33,0,
KB EB SV,18,35,4,170,33,0.1941176471,63,59,16,65,
KB EB SV,18,49,5,52,17,0.3269230769,26,15,4,7,
KB EB SV,18,69,6,112,16,0.1428571429,33,0,70,7,
MT JK MP,18,0,1,18,6,0.3333333333,2,9,7,0,
MT JK MP,18,11,2,50,27,0.54,41,8,1,0,
MT JK MP,18,23,3,60,17,0.2833333333,20,21,19,1,
MT JK MP,18,35,4,41,18,0.4390243902,29,12,0,0,
MT JK MP,18,49,5,50,16,0.32,2,22,25,18,
MT JK MP,18,69,6,91,14,0.1538461538,25,32,33,1,
AH AS AA RJ,18,0,1,12,2,0.1666666667,1,11,0,0,
AH AS AA RJ,18,11,2,63,44,0.6984126984,44,15,4,0,
Kl800130,18,23,3,67,18,0.2686567164,31,6,23,2,
AH AS AA RJ,18,35,4,34,17,0.5,27,0,0,7,
AH AS AA RJ,18,49,5,48,14,0.2916666667,28,15,5,0,
AH AS AA RJ,18,69,6,108,15,0.1388888889,18,71,8,3,
MD MM RF BK,12,0,1,13,4,0.30769231,2,3,8,0,
MD MM RF BK,12,35,4,43,17,0.3953,31,12,0,0,
MD MM RF BK,12,23,3,61,15,0.27658962,29,8,26,2,
MD MM RF BK,12,11,2,64,45,0.703125,45,15,117.8,132.5,147.2
MD MM RF BK,12,49,5,53,17,0.32075472,1,28,24,0,
MD MM RF BK,12,69,6,54,9,0.1667,20,24,8,2,
JC KL JS,12,0,1,15,5,0.333,1,13,1,0,
