Initials,Source,Colonies_AB_neg,Colonies_AB_pos
JMH,dog,0.0001,1
AMC,human,0.0001,1
AEB,human,188,0.0001
RSP,human,186,0.0001
AMC,dog,110,0.0001
KAH,human,102,0.0001
AET,human,66,0.0001
CET,human,16,0.0001
CAR,dog,16,0.0001
EEP,human,7,0.0001
ARM,human,6,0.0001
CC,dog,6,0.0001
EKL,human,4,0.0001
CC,human,4,0.0001
AET,dog,3,0.0001
ARM,dog,2,0.0001
SNS,human,2,0.0001
LCM,human,2,0.0001
EKL,dog,1,0.0001
CMC,human,4,0.0001
EJF,human,1,0.0001
CET,dog,224,1
JMH,human,64,1
Avalanche,dog,600,245
KAH,dog,34,2
LVL,dog,14,1
RSP,dog,84,11
SNS,dog,10,2
Steve,dog,337,127
LVL,human,4,2
GJR,dog,300,200
EEP,dog,280,320
CMC,dog,2,3
